Product,Age,RTO State/UT,RTO City/Location,Alto,Alto K10,A-Star,BALENO D,BALENO P,Celerio D,Celerio P,CIAZ D,CIAZ P,Dzire D,Dzire P,Eeco/Versa D,Eeco/Versa P,Ertiga D,Ertiga P,Esteem D,Esteem P,Grand Vitara,Gypsy,IGNIS D,IGNIS P,Kizashi,Old Baleno,Omni,RITZ D,RITZ P,S-CROSS D,S-CROSS P,S-PRESSO,SUPER CARRY D,SUPER CARRY P,SWIFT D,SWIFT P,SX4 D,SX4 P,VITARA BREZZA D,VITARA BREZZA P,Wagon R,XL6,Zen,Zen D,,Model,Check,Check,RTO State/UT,RTO City/Location
PVT,0,ANDAMAN & NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,Alto,TRUE,TRUE,ANDAMAN & NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS
PVT,0,Andhra Pradesh,VIJAYAWADA,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,Alto K10,TRUE,TRUE,Andhra Pradesh,VIJAYAWADA
PVT,0,,VISAKHAPATNAM,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,A-Star,TRUE,TRUE,,VISAKHAPATNAM
PVT,0,,Rest of ANDHRA PRADESH,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,BALENO D,TRUE,TRUE,,Rest of ANDHRA PRADESH
PVT,0,ASSAM,GUWAHATI,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,BALENO P,TRUE,TRUE,ASSAM,GUWAHATI
PVT,0,,KAMRUP,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,Celerio D,TRUE,TRUE,,KAMRUP
PVT,0,,Rest of ASSAM,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,Celerio P,TRUE,TRUE,,Rest of ASSAM
PVT,0,ARUNACHAL PRADESH,ARUNACHAL PRADESH,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,CIAZ D,TRUE,TRUE,ARUNACHAL PRADESH,ARUNACHAL PRADESH
PVT,0,BIHAR,HAJIPUR,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,CIAZ P,TRUE,TRUE,BIHAR,HAJIPUR
PVT,0,,MUZAFFARPUR,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,Dzire D,TRUE,TRUE,,MUZAFFARPUR
PVT,0,,PATNA,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,Dzire P,TRUE,TRUE,,PATNA
PVT,0,,Rest of BIHAR,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,Eeco/Versa D,TRUE,TRUE,,Rest of BIHAR
PVT,0,CHANDIGARH,CHANDIGARH,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,Eeco/Versa P,TRUE,TRUE,CHANDIGARH,CHANDIGARH
PVT,0,CHATTISGARH,BILASPUR,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,Ertiga D,TRUE,TRUE,CHATTISGARH,BILASPUR
PVT,0,,RAIPUR,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,Ertiga P,TRUE,TRUE,,RAIPUR
PVT,0,,Rest of CHATTISGARH,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,Esteem D,TRUE,TRUE,,Rest of CHATTISGARH
