Product,Age,RTO State/UT,RTO City/Location,Alto,Alto K10,A-Star,BALENO D,BALENO P,Celerio D,Celerio P,CIAZ D,CIAZ P,Dzire D,Dzire P,Eeco/Versa D,Eeco/Versa P,Ertiga D,Ertiga P,Esteem D,Esteem P,Grand Vitara,Gypsy,IGNIS D,IGNIS P,Kizashi,Old Baleno,Omni,RITZ D,RITZ P,S-CROSS D,S-CROSS P,S-PRESSO,SUPER CARRY D,SUPER CARRY P,SWIFT D,SWIFT P,SX4 D,SX4 P,VITARA BREZZA D,VITARA BREZZA P,Wagon R,XL6,Zen,Zen D
PVT,0,ANDAMAN & NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30
PVT,0,Andhra Pradesh,VIJAYAWADA,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30
PVT,0,Andhra Pradesh,VISAKHAPATNAM,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30
PVT,0,Andhra Pradesh,Rest of ANDHRA PRADESH,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30
PVT,0,ASSAM,GUWAHATI,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30
PVT,0,ASSAM,KAMRUP,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30
PVT,0,ASSAM,Rest of ASSAM,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30
PVT,0,ARUNACHAL PRADESH,ARUNACHAL PRADESH,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30
PVT,0,BIHAR,HAJIPUR,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30
PVT,0,BIHAR,MUZAFFARPUR,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30
